Nâng cấp bắt đầu: 10:39:18_25-03-2022
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/styles.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/images/user-group.jpg | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/admin.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/chart.esm.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/chart.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/chart.min.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/chunks/helpers.segment.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/helpers.esm.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/global.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
