Nâng cấp bắt đầu: 10:36:27_25-03-2022
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-pageDown.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-pageUp.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-presentationMode.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-print.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-search.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-secondaryToolbarToggle.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-sidebarToggle.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-viewAttachments.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-viewLayers.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-viewOutline.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-viewThumbnail.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-zoomIn.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-zoomOut.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/treeitem-collapsed.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/treeitem-expanded.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/locale/en-GB/viewer.properties | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/locale/en-US/viewer.properties | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/locale/fr/viewer.properties | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/locale/locale.properties | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/locale/vi/viewer.properties | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/pdf.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/pdf.sandbox.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/pdf.worker.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/viewer.css | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/viewer.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/viewer.tpl | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/select2/i18n/en.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/select2/i18n/fr.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/select2/i18n/vi.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/select2/select2.min.css | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/select2/select2.min.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/upload.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file composer.json | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file data/certs/cacert.pem | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file data/certs/index.html | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file data/config/disable_site_content.vi.txt | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file data/config/robots.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file error.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file includes/action_mysql.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file includes/api/ClearCache.php | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file includes/api/index.html | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file includes/constants.php | SUCCESS
